Date,Open Index,Closing Index
2022-09-15,10087.93,10092.21
2022-09-14,10083.85,10087.93
2022-09-13,10079.96,10083.85
2022-09-12,10067.29,10079.96
2022-09-09,10063.28,10067.29
2022-09-08,10059.52,10063.28
2022-09-07,10055.22,10059.52
2022-09-06,10051.1,10055.22
2022-09-05,10046.91,10051.1
2022-09-04,10042.72,10046.91
2022-09-03,10038.12,10042.72
2022-09-02,10033.52,10038.12
2022-09-01,10029.2,10033.52
2022-08-31,10024.99,10029.2
2022-08-30,10020.73,10024.99
2022-08-29,10016.59,10020.73
2022-08-28,10012.38,10016.59
2022-08-27,10008.18,10012.38
2022-08-26,10003.96,10008.18
2022-08-25,10000,10003.96
2022-08-24,10000,10000
