Concatenate (Fusion),Supplier,PO No  ( EBS ),PO ( EBS ) Delivery Date,MRR No. ( EBS ),MRR Date ( EBS ),MRR No. ( Fusion ),MRR Release Date,Invoice Number,Invoice Ref.
17979-10908,MUHAMMAD AFZAL -CASH PURCHASES,17979,2023-12-11,6067,2023-12-09,10908,,0,Not Submitted
17979-10908,MUHAMMAD AFZAL -CASH PURCHASES,17979,2023-12-11,6067,2023-12-09,10908,,0,Not Submitted
17979-10908,MUHAMMAD AFZAL -CASH PURCHASES,17979,2023-12-11,6067,2023-12-09,10908,,0,Not Submitted
17979-10908,MUHAMMAD AFZAL -CASH PURCHASES,17979,2023-12-11,6067,2023-12-09,10908,,0,Not Submitted
17979-10908,MUHAMMAD AFZAL -CASH PURCHASES,17979,2023-12-11,6067,2023-12-09,10908,,0,Not Submitted
17979-10908,MUHAMMAD AFZAL -CASH PURCHASES,17979,2023-12-11,6067,2023-12-09,10908,,0,Not Submitted
17979-10908,MUHAMMAD AFZAL -CASH PURCHASES,17979,2023-12-11,6067,2023-12-09,10908,,0,Not Submitted
17979-10908,MUHAMMAD AFZAL -CASH PURCHASES,17979,2023-12-11,6067,2023-12-09,10908,,0,Not Submitted
17979-10908,MUHAMMAD AFZAL -CASH PURCHASES,17979,2023-12-11,6067,2023-12-09,10908,,0,Not Submitted
17979-10908,MUHAMMAD AFZAL -CASH PURCHASES,17979,2023-12-11,6067,2023-12-09,10908,,0,Not Submitted
17979-10908,MUHAMMAD AFZAL -CASH PURCHASES,17979,2023-12-11,6067,2023-12-09,10908,,0,Not Submitted
17979-10908,MUHAMMAD AFZAL -CASH PURCHASES,17979,2023-12-11,6067,2023-12-09,10908,,0,Not Submitted
17979-10908,MUHAMMAD AFZAL -CASH PURCHASES,17979,2023-12-11,6067,2023-12-09,10908,,0,Not Submitted
17979-10908,MUHAMMAD AFZAL -CASH PURCHASES,17979,2023-12-11,6067,2023-12-09,10908,,0,Not Submitted
17979-10908,MUHAMMAD AFZAL -CASH PURCHASES,17979,2023-12-11,6067,2023-12-09,10908,,0,Not Submitted
17979-10908,MUHAMMAD AFZAL -CASH PURCHASES,17979,2023-12-11,6067,2023-12-09,10908,,0,Not Submitted
17979-10908,MUHAMMAD AFZAL -CASH PURCHASES,17979,2023-12-11,6067,2023-12-09,10908,,0,Not Submitted
17979-10908,MUHAMMAD AFZAL -CASH PURCHASES,17979,2023-12-11,6067,2023-12-09,10908,,0,Not Submitted
17979-10908,MUHAMMAD AFZAL -CASH PURCHASES,17979,2023-12-11,6067,2023-12-09,10908,,0,Not Submitted
17979-10908,MUHAMMAD AFZAL -CASH PURCHASES,17979,2023-12-11,6067,2023-12-09,10908,,0,Not Submitted
17979-10908,MUHAMMAD AFZAL -CASH PURCHASES,17979,2023-12-11,6067,2023-12-09,10908,,0,Not Submitted
17979-10908,MUHAMMAD AFZAL -CASH PURCHASES,17979,2023-12-11,6067,2023-12-09,10908,,0,Not Submitted
17979-10908,MUHAMMAD AFZAL -CASH PURCHASES,17979,2023-12-11,6067,2023-12-09,10908,,0,Not Submitted
17979-10908,MUHAMMAD AFZAL -CASH PURCHASES,17979,2023-12-11,6067,2023-12-09,10908,,0,Not Submitted
17979-10908,MUHAMMAD AFZAL -CASH PURCHASES,17979,2023-12-11,6067,2023-12-09,10908,,0,Not Submitted
17979-10908,MUHAMMAD AFZAL -CASH PURCHASES,17979,2023-12-11,6067,2023-12-09,10908,,0,Not Submitted
17979-10908,MUHAMMAD AFZAL -CASH PURCHASES,17979,2023-12-11,6067,2023-12-09,10908,,0,Not Submitted
17979-10908,MUHAMMAD AFZAL -CASH PURCHASES,17979,2023-12-11,6067,2023-12-09,10908,,0,Not Submitted
17979-10908,MUHAMMAD AFZAL -CASH PURCHASES,17979,2023-12-11,6067,2023-12-09,10908,,0,Not Submitted
17979-10908,MUHAMMAD AFZAL -CASH PURCHASES,17979,2023-12-11,6067,2023-12-09,10908,,0,Not Submitted
17979-10908,MUHAMMAD AFZAL -CASH PURCHASES,17979,2023-12-11,6067,2023-12-09,10908,,0,Not Submitted
17979-10908,MUHAMMAD AFZAL -CASH PURCHASES,17979,2023-12-11,6067,2023-12-09,10908,,0,Not Submitted
17979-10908,MUHAMMAD AFZAL -CASH PURCHASES,17979,2023-12-11,6067,2023-12-09,10908,,0,Not Submitted
17979-10908,MUHAMMAD AFZAL -CASH PURCHASES,17979,2023-12-11,6067,2023-12-09,10908,,0,Not Submitted
17979-10908,MUHAMMAD AFZAL -CASH PURCHASES,17979,2023-12-11,6067,2023-12-09,10908,,0,Not Submitted
17979-10908,MUHAMMAD AFZAL -CASH PURCHASES,17979,2023-12-11,6067,2023-12-09,10908,,0,Not Submitted
17979-10908,MUHAMMAD AFZAL -CASH PURCHASES,17979,2023-12-11,6067,2023-12-09,10908,,0,Not Submitted
17979-10908,MUHAMMAD AFZAL -CASH PURCHASES,17979,2023-12-11,6067,2023-12-09,10908,,0,Not Submitted
17979-10908,MUHAMMAD AFZAL -CASH PURCHASES,17979,2023-12-11,6067,2023-12-09,10908,,0,Not Submitted
17979-10908,MUHAMMAD AFZAL -CASH PURCHASES,17979,2023-12-11,6067,2023-12-09,10908,,0,Not Submitted
17981-10905,BLAZON INTERNATIONAL,17981,2023-10-16,6064,2023-12-08,10905,,0,Not Submitted
17548-10901,ZAUQ INTERNATIONAL,17548,2023-10-03,6060,2023-12-08,10901,,0,Not Submitted
17815-10900,PAKISTAN OXYGEN LIMITED,17815,2023-11-21,6059,2023-12-08,10900,,0,Not Submitted
17815-10899,PAKISTAN OXYGEN LIMITED,17815,2023-11-21,6058,2023-12-08,10899,,0,Not Submitted
17390-10896,NOOR & CO.,17390,2023-08-16,6056,2023-12-07,10896,,0,Not Submitted
17390-10896,NOOR & CO.,17390,2023-08-16,6056,2023-12-07,10896,,0,Not Submitted
7465-0,KHAN PACKAGES,7465,2020-02-21,6054,2020-08-11,0,,0,Not Submitted
8575-0,AL-WASIO PACKAGES,8575,2020-08-30,6053,2020-08-11,0,,0,Not Submitted
17711-10884,JAVED CHEMICAL CORPORATION,17711,2023-10-14,6051,2023-12-05,10884,,0,Not Submitted
16231-10882,JAVED CHEMICAL CORPORATION,16231,2023-01-27,6050,2023-12-04,10882,,0,Not Submitted
2688-0,Muhammad Raza,2688,2018-09-07,605,2018-10-04,0,,0,Not Submitted
2688-0,Muhammad Raza,2688,2018-09-07,605,2018-10-04,0,,0,Not Submitted
14410-791,"SHANDONG PHARMACEUTICAL GLASS CO., LTD.",14410,2022-07-14,605,2023-11-10,791,2023-11-15,0,Not Submitted
17891-0,PAKISTAN OXYGEN LIMITED,17891,2023-11-21,6049,2023-12-04,0,,0,Not Submitted
8594-0,METIER PLASTIC (PVT.) LIMITED,8594,2020-08-25,6048,2020-08-11,0,,0,Not Submitted
8742-0,MAYA CORPORATION,8742,2020-08-15,6031,2020-08-07,0,,0,Not Submitted
16358-788,ANHUI HUAFENG PHARMACEUTICAL RUBBER CO. LTD.,16358,2023-06-06,602,2023-11-08,788,2023-11-13,0,Not Submitted
1282-673,SWS (PVT) LIMITED,1282,2018-05-28,601,2018-06-09,673,2023-03-20,0,Not Submitted
17072-10820,UNITED STATES PHARMACOPEIAL CONV.INC.,17072,2022-03-29,6000,2023-11-22,10820,,0,Not Submitted
17072-10820,UNITED STATES PHARMACOPEIAL CONV.INC.,17072,2022-04-01,6000,2023-11-22,10820,,0,Not Submitted
17072-10820,UNITED STATES PHARMACOPEIAL CONV.INC.,17072,2022-04-01,6000,2023-11-22,10820,,0,Not Submitted
17072-10820,UNITED STATES PHARMACOPEIAL CONV.INC.,17072,2023-02-04,6000,2023-11-22,10820,,0,Not Submitted
17072-10820,UNITED STATES PHARMACOPEIAL CONV.INC.,17072,2023-02-14,6000,2023-11-22,10820,,0,Not Submitted
17244-782,"HENAN KANGDA PHARMACEUTICAL CO.,LTD",17244,2023-09-10,600,2023-10-27,782,2023-11-03,0,Not Submitted
723-93,MASTER OFFISYS PVT LTD,723,2018-04-06,60,2018-05-04,93,,0,Not Submitted
723-93,MASTER OFFISYS PVT LTD,723,2018-04-07,60,2018-05-04,93,,0,Not Submitted
723-93,MASTER OFFISYS PVT LTD,723,2018-04-08,60,2018-05-04,93,,0,Not Submitted
4360-0,WORLD-WIDE SERVICES,4360,2019-02-28,60,2019-02-28,0,,0,Not Submitted
