Concatenate (Fusion),Supplier,PO No  ( EBS ),PO ( EBS ) Delivery Date,MRR No. ( EBS ),MRR Date ( EBS ),MRR No. ( Fusion ),MRR Release Date,Invoice Number,Invoice Ref.
14556-8707,SHANGHAI AITOMU MACHINERY CO. LIMITED CHINA,14556,2022-03-22,4983,2022-08-27,8707,,0,Not Submitted
14551-8706,SHANGHAI AITOMU MACHINERY CO. LIMITED CHINA,14551,2022-03-22,4982,2022-08-27,8706,,0,Not Submitted
17368-5194,M/S. IMRAN ENGINEERING,17368,2023-09-13,4981,2023-09-18,5194,,0,Not Submitted
432-0,"CLARIANT INTERNATIONAL AG, SWITZERLAND",432,2018-04-17,498,2018-05-28,0,,0,Not Submitted
3033-530,NEW TECH SYSTEM,3033,2018-10-11,498,2018-11-09,530,,0,Not Submitted
1335-621,LUCKY PLASTIC INDUSTRIES (PRIVATE) LIMITED,1335,2018-05-28,497,2018-05-29,621,2018-05-30,0,Not Submitted
2647-0,PARVAAN & COMPANY,2647,2018-08-28,493,2018-09-03,0,,0,Not Submitted
2647-0,PARVAAN & COMPANY,2647,2018-08-28,493,2018-09-03,0,,0,Not Submitted
2647-0,PARVAAN & COMPANY,2647,2018-08-28,493,2018-09-03,0,,0,Not Submitted
2647-0,PARVAAN & COMPANY,2647,2018-08-28,493,2018-09-03,0,,0,Not Submitted
2647-0,PARVAAN & COMPANY,2647,2018-08-28,493,2018-09-03,0,,0,Not Submitted
2647-0,PARVAAN & COMPANY,2647,2018-08-28,493,2018-09-03,0,,0,Not Submitted
2647-0,PARVAAN & COMPANY,2647,2018-08-28,493,2018-09-03,0,,0,Not Submitted
2647-0,PARVAAN & COMPANY,2647,2018-08-28,493,2018-09-03,0,,0,Not Submitted
14969-0,PAKISTAN OXYGEN LIMITED,14969,2022-07-29,4926,2022-08-12,0,,0,Not Submitted
3125-522,Muhammad Raza,3125,2018-10-11,490,2018-11-06,522,,0,Not Submitted
3980-82,"JIANGXI TIANXIN PHARMACEUTICAL CO., LTD.",3980,2019-01-10,49,2019-01-23,82,,0,Not Submitted
16057-5082,BEIJING DEEPALL INTERNATIONAL TRADE CO. LTD.,16057,2022-08-03,4868,2023-07-10,5082,,0,Not Submitted
7314-0,SOGO CORPORATION,7314,2020-01-25,4853,2020-01-28,0,,0,Not Submitted
14251-0,PAKISTAN OXYGEN LIMITED,14251,2022-04-20,4846,2022-06-28,0,,0,Not Submitted
14720-0,NOVINS FOODS,14720,2022-02-01,4844,2022-06-27,0,,0,Not Submitted
1055-592,EVONIK NUTRITION AND CARE GMBH,1055,2018-05-12,484,2018-05-26,592,,0,Not Submitted
1055-592,EVONIK NUTRITION AND CARE GMBH,1055,2018-05-12,484,2018-05-26,592,,0,Not Submitted
14251-0,PAKISTAN OXYGEN LIMITED,14251,2022-04-20,4839,2022-06-27,0,,0,Not Submitted
14149-0,JAVED CHEMICAL CORPORATION,14149,2022-02-21,4820,2022-06-16,0,,0,Not Submitted
16447-5002,Syed Arshad Ali,16447,2023-02-20,4790,2023-05-30,5002,,0,Not Submitted
16447-5002,Syed Arshad Ali,16447,2023-02-20,4790,2023-05-30,5002,,0,Not Submitted
16447-5002,Syed Arshad Ali,16447,2023-02-20,4790,2023-05-30,5002,,0,Not Submitted
16447-5002,Syed Arshad Ali,16447,2023-02-20,4790,2023-05-30,5002,,0,Not Submitted
16447-5002,Syed Arshad Ali,16447,2023-02-20,4790,2023-05-30,5002,,0,Not Submitted
16447-5002,Syed Arshad Ali,16447,2023-02-20,4790,2023-05-30,5002,,0,Not Submitted
16447-5002,Syed Arshad Ali,16447,2023-02-20,4790,2023-05-30,5002,,0,Not Submitted
16447-5002,Syed Arshad Ali,16447,2023-02-20,4790,2023-05-30,5002,,0,Not Submitted
16447-5002,Syed Arshad Ali,16447,2023-02-20,4790,2023-05-30,5002,,0,Not Submitted
16447-5002,Syed Arshad Ali,16447,2023-02-20,4790,2023-05-30,5002,,0,Not Submitted
16447-5002,Syed Arshad Ali,16447,2023-02-20,4790,2023-05-30,5002,,0,Not Submitted
16447-5002,Syed Arshad Ali,16447,2023-02-20,4790,2023-05-30,5002,,0,Not Submitted
16447-5002,Syed Arshad Ali,16447,2023-02-20,4790,2023-05-30,5002,,0,Not Submitted
16447-5002,Syed Arshad Ali,16447,2023-02-20,4790,2023-05-30,5002,,0,Not Submitted
16631-5003,Syed Arshad Ali,16631,2023-03-14,4788,2023-05-29,5003,,0,Not Submitted
16631-5003,Syed Arshad Ali,16631,2023-03-14,4788,2023-05-29,5003,,0,Not Submitted
16210-5019,Irshad Sarwar,16210,2023-02-07,4787,2023-05-25,5019,,0,Not Submitted
16718-4999,"SHANGHAI YIZHONG MACHINERY CO., LTD.",16718,2023-04-12,4785,2023-05-22,4999,,0,Not Submitted
16718-4999,"SHANGHAI YIZHONG MACHINERY CO., LTD.",16718,2023-04-12,4785,2023-05-22,4999,,0,Not Submitted
16639-4996,Muhammad Raza,16639,2023-04-03,4780,2023-05-17,4996,,0,Not Submitted
16607-4992,Syed Arshad Ali,16607,2023-03-09,4776,2023-05-16,4992,,0,Not Submitted
16607-4992,Syed Arshad Ali,16607,2023-03-09,4776,2023-05-16,4992,,0,Not Submitted
16520-4991,Syed Arshad Ali,16520,2023-03-02,4775,2023-05-16,4991,,0,Not Submitted
16520-4991,Syed Arshad Ali,16520,2023-03-02,4775,2023-05-16,4991,,0,Not Submitted
16520-4991,Syed Arshad Ali,16520,2023-03-02,4775,2023-05-16,4991,,0,Not Submitted
16608-4990,Syed Arshad Ali,16608,2023-03-09,4774,2023-05-16,4990,,0,Not Submitted
6650-4540,IFTEKHAR INTERNATIONAL,6650,2019-10-30,4773,2020-01-14,4540,,0,Not Submitted
16604-4989,Syed Arshad Ali,16604,2023-03-07,4773,2023-05-16,4989,,0,Not Submitted
16604-4989,Syed Arshad Ali,16604,2023-03-07,4773,2023-05-16,4989,,0,Not Submitted
16639-4981,Muhammad Raza,16639,2023-04-03,4765,2023-05-10,4981,,0,Not Submitted
16639-4981,Muhammad Raza,16639,2023-04-03,4765,2023-05-10,4981,,0,Not Submitted
16542-4979,Syed Arshad Ali,16542,2023-03-02,4763,2023-05-10,4979,,0,Not Submitted
16542-4979,Syed Arshad Ali,16542,2023-03-02,4763,2023-05-10,4979,,0,Not Submitted
16542-4979,Syed Arshad Ali,16542,2023-03-02,4763,2023-05-10,4979,,0,Not Submitted
16542-4979,Syed Arshad Ali,16542,2023-03-02,4763,2023-05-10,4979,,0,Not Submitted
16542-4979,Syed Arshad Ali,16542,2023-03-02,4763,2023-05-10,4979,,0,Not Submitted
16542-4979,Syed Arshad Ali,16542,2023-03-02,4763,2023-05-10,4979,,0,Not Submitted
16542-4979,Syed Arshad Ali,16542,2023-03-02,4763,2023-05-10,4979,,0,Not Submitted
16601-4978,Syed Arshad Ali,16601,2023-03-06,4762,2023-05-09,4978,,0,Not Submitted
16601-4978,Syed Arshad Ali,16601,2023-03-08,4762,2023-05-09,4978,,0,Not Submitted
16601-4978,Syed Arshad Ali,16601,2023-03-08,4762,2023-05-09,4978,,0,Not Submitted
16601-4978,Syed Arshad Ali,16601,2023-03-08,4762,2023-05-09,4978,,0,Not Submitted
16601-4978,Syed Arshad Ali,16601,2023-03-08,4762,2023-05-09,4978,,0,Not Submitted
16601-4978,Syed Arshad Ali,16601,2023-03-08,4762,2023-05-09,4978,,0,Not Submitted
16601-4978,Syed Arshad Ali,16601,2023-03-08,4762,2023-05-09,4978,,0,Not Submitted
16601-4978,Syed Arshad Ali,16601,2023-03-08,4762,2023-05-09,4978,,0,Not Submitted
16601-4978,Syed Arshad Ali,16601,2023-03-08,4762,2023-05-09,4978,,0,Not Submitted
16601-4978,Syed Arshad Ali,16601,2023-03-08,4762,2023-05-09,4978,,0,Not Submitted
16601-4978,Syed Arshad Ali,16601,2023-03-08,4762,2023-05-09,4978,,0,Not Submitted
16601-4978,Syed Arshad Ali,16601,2023-03-08,4762,2023-05-09,4978,,0,Not Submitted
16601-4978,Syed Arshad Ali,16601,2023-03-08,4762,2023-05-09,4978,,0,Not Submitted
16601-4978,Syed Arshad Ali,16601,2023-03-08,4762,2023-05-09,4978,,0,Not Submitted
16601-4978,Syed Arshad Ali,16601,2023-03-08,4762,2023-05-09,4978,,0,Not Submitted
16601-4978,Syed Arshad Ali,16601,2023-03-08,4762,2023-05-09,4978,,0,Not Submitted
16603-4977,Syed Arshad Ali,16603,2023-03-06,4761,2023-05-09,4977,,0,Not Submitted
16603-4977,Syed Arshad Ali,16603,2023-03-07,4761,2023-05-09,4977,,0,Not Submitted
16603-4977,Syed Arshad Ali,16603,2023-03-07,4761,2023-05-09,4977,,0,Not Submitted
16603-4977,Syed Arshad Ali,16603,2023-03-07,4761,2023-05-09,4977,,0,Not Submitted
16603-4977,Syed Arshad Ali,16603,2023-03-07,4761,2023-05-09,4977,,0,Not Submitted
16603-4977,Syed Arshad Ali,16603,2023-03-07,4761,2023-05-09,4977,,0,Not Submitted
16603-4977,Syed Arshad Ali,16603,2023-03-07,4761,2023-05-09,4977,,0,Not Submitted
16603-4977,Syed Arshad Ali,16603,2023-03-07,4761,2023-05-09,4977,,0,Not Submitted
16603-4977,Syed Arshad Ali,16603,2023-03-07,4761,2023-05-09,4977,,0,Not Submitted
16603-4977,Syed Arshad Ali,16603,2023-03-07,4761,2023-05-09,4977,,0,Not Submitted
16603-4977,Syed Arshad Ali,16603,2023-03-07,4761,2023-05-09,4977,,0,Not Submitted
16603-4977,Syed Arshad Ali,16603,2023-03-07,4761,2023-05-09,4977,,0,Not Submitted
16603-4977,Syed Arshad Ali,16603,2023-03-07,4761,2023-05-09,4977,,0,Not Submitted
16603-4977,Syed Arshad Ali,16603,2023-03-07,4761,2023-05-09,4977,,0,Not Submitted
16603-4977,Syed Arshad Ali,16603,2023-03-07,4761,2023-05-09,4977,,0,Not Submitted
16603-4977,Syed Arshad Ali,16603,2023-03-07,4761,2023-05-09,4977,,0,Not Submitted
16603-4977,Syed Arshad Ali,16603,2023-03-07,4761,2023-05-09,4977,,0,Not Submitted
16603-4977,Syed Arshad Ali,16603,2023-03-07,4761,2023-05-09,4977,,0,Not Submitted
16603-4977,Syed Arshad Ali,16603,2023-03-07,4761,2023-05-09,4977,,0,Not Submitted
16603-4977,Syed Arshad Ali,16603,2023-03-07,4761,2023-05-09,4977,,0,Not Submitted
16603-4977,Syed Arshad Ali,16603,2023-03-07,4761,2023-05-09,4977,,0,Not Submitted
16603-4977,Syed Arshad Ali,16603,2023-03-07,4761,2023-05-09,4977,,0,Not Submitted
16603-4977,Syed Arshad Ali,16603,2023-03-07,4761,2023-05-09,4977,,0,Not Submitted
16603-4977,Syed Arshad Ali,16603,2023-03-07,4761,2023-05-09,4977,,0,Not Submitted
16603-4977,Syed Arshad Ali,16603,2023-03-07,4761,2023-05-09,4977,,0,Not Submitted
16649-4976,Syed Arshad Ali,16649,2023-03-23,4760,2023-05-09,4976,,0,Not Submitted
16649-4976,Syed Arshad Ali,16649,2023-03-27,4760,2023-05-09,4976,,0,Not Submitted
16649-4976,Syed Arshad Ali,16649,2023-03-27,4760,2023-05-09,4976,,0,Not Submitted
16649-4976,Syed Arshad Ali,16649,2023-03-27,4760,2023-05-09,4976,,0,Not Submitted
16649-4976,Syed Arshad Ali,16649,2023-03-27,4760,2023-05-09,4976,,0,Not Submitted
16649-4976,Syed Arshad Ali,16649,2023-03-27,4760,2023-05-09,4976,,0,Not Submitted
16649-4976,Syed Arshad Ali,16649,2023-03-27,4760,2023-05-09,4976,,0,Not Submitted
16637-4975,Syed Arshad Ali,16637,2023-03-20,4759,2023-05-09,4975,,0,Not Submitted
16637-4975,Syed Arshad Ali,16637,2023-03-20,4759,2023-05-09,4975,,0,Not Submitted
16624-0,Syed Arshad Ali,16624,2023-03-15,4758,2023-05-09,0,,0,Not Submitted
16624-4974,Syed Arshad Ali,16624,2023-03-16,4758,2023-05-09,4974,,0,Not Submitted
16624-4974,Syed Arshad Ali,16624,2023-03-16,4758,2023-05-09,4974,,0,Not Submitted
16624-4974,Syed Arshad Ali,16624,2023-03-16,4758,2023-05-09,4974,,0,Not Submitted
16641-4973,Syed Arshad Ali,16641,2023-03-20,4757,2023-05-09,4973,,0,Not Submitted
16641-4973,Syed Arshad Ali,16641,2023-03-20,4757,2023-05-09,4973,,0,Not Submitted
16602-4972,Syed Arshad Ali,16602,2023-02-21,4756,2023-05-09,4972,,0,Not Submitted
16374-4967,Muhammad Raza,16374,2023-02-15,4752,2023-05-04,4967,,0,Not Submitted
16374-4967,Muhammad Raza,16374,2023-02-15,4752,2023-05-04,4967,,0,Not Submitted
16449-4966,Muhammad Raza,16449,2022-12-30,4751,2023-05-04,4966,,0,Not Submitted
16449-4966,Muhammad Raza,16449,2023-03-20,4751,2023-05-04,4966,,0,Not Submitted
16449-4966,Muhammad Raza,16449,2023-03-20,4751,2023-05-04,4966,,0,Not Submitted
16449-4966,Muhammad Raza,16449,2023-03-20,4751,2023-05-04,4966,,0,Not Submitted
16449-4966,Muhammad Raza,16449,2023-03-21,4751,2023-05-04,4966,,0,Not Submitted
16410-0,F. N. TRADERS,16410,2023-03-10,4734,2023-03-30,0,,0,Not Submitted
16375-4946,Muhammad Raza,16375,2023-03-02,4733,2023-03-30,4946,,0,Not Submitted
16375-4945,Muhammad Raza,16375,2023-03-02,4732,2023-03-30,4945,,0,Not Submitted
16032-4944,Muhammad Raza,16032,2022-12-16,4731,2023-03-30,4944,,0,Not Submitted
15996-4948,Muhammad Raza,15996,2023-01-04,4730,2023-03-30,4948,,0,Not Submitted
15996-4943,Muhammad Raza,15996,2023-01-04,4729,2023-03-30,4943,,0,Not Submitted
15996-4939,Muhammad Raza,15996,2022-11-02,4725,2023-03-30,4939,,0,Not Submitted
15996-4939,Muhammad Raza,15996,2023-01-04,4725,2023-03-30,4939,,0,Not Submitted
15996-4939,Muhammad Raza,15996,2023-01-04,4725,2023-03-30,4939,,0,Not Submitted
15996-4939,Muhammad Raza,15996,2022-11-02,4725,2023-03-30,4939,,0,Not Submitted
16298-4938,Muhammad Raza,16298,2023-03-03,4724,2023-03-30,4938,,0,Not Submitted
16298-4938,Muhammad Raza,16298,2023-03-03,4724,2023-03-30,4938,,0,Not Submitted
15910-4937,Muhammad Raza,15910,2023-01-10,4723,2023-03-30,4937,,0,Not Submitted
15910-4937,Muhammad Raza,15910,2023-01-10,4723,2023-03-30,4937,,0,Not Submitted
2676-0,GREAVES PAKISTAN (PVT) LTD.,2676,2018-08-06,472,2018-10-30,0,,0,Not Submitted
3920-80,EMMENNAR PHARMA (P) LTD.,3920,2019-01-09,47,2019-01-14,80,,0,Not Submitted
15747-0,HAKIMI TRADERS,15747,2022-12-01,4658,2023-02-17,0,,0,Not Submitted
15747-0,HAKIMI TRADERS,15747,2022-12-01,4633,2023-02-11,0,,0,Not Submitted
15491-4818,ADVANCE ENGINEERING GROUP,15491,2022-10-28,4604,2023-01-27,4818,,0,Not Submitted
3920-79,EMMENNAR PHARMA (P) LTD.,3920,2019-01-09,46,2019-01-14,79,,0,Not Submitted
13977-0,DG KHAN CEMENT COMPANY LTD.,13977,2022-03-10,4574,2022-03-14,0,,0,Not Submitted
1827-814,CLASSIC LEATHER GOODS,1827,2018-07-05,455,2018-08-13,814,,0,Not Submitted
5358-0,DSM NUTRITIONAL PRODUCTS ASIA PACIFIC,5358,2019-07-22,4528,2019-08-09,0,,0,Not Submitted
5647-0,ALPINE CHEMICAL SOLUTIONS (PVT.) LIMITED,5647,2019-07-31,4508,2019-11-19,0,,0,Not Submitted
5647-0,ALPINE CHEMICAL SOLUTIONS (PVT.) LIMITED,5647,2019-07-31,4503,2019-11-18,0,,0,Not Submitted
2119-0,INTERLINK ENGINEERING,2119,2018-07-26,450,2018-08-13,0,,0,Not Submitted
3855-0,AARTI DRUGS LIMITED,3855,2019-01-02,45,2019-01-11,0,,0,Not Submitted
6539-4182,MEDICURE LABORATORIES,6539,2019-10-28,4487,2019-11-14,4182,,0,Not Submitted
6391-0,METIER IMPRESSIONS (PVT) LTD.,6391,2019-10-20,4470,2019-11-08,0,,0,Not Submitted
2411-831,Muhammad Haroon,2411,2018-08-06,447,2018-08-11,831,,0,Not Submitted
2411-831,Muhammad Haroon,2411,2018-08-06,447,2018-08-11,831,,0,Not Submitted
2411-831,Muhammad Haroon,2411,2018-08-06,447,2018-08-11,831,,0,Not Submitted
2411-831,Muhammad Haroon,2411,2018-08-06,447,2018-08-11,831,,0,Not Submitted
2411-831,Muhammad Haroon,2411,2018-08-06,447,2018-08-11,831,,0,Not Submitted
2411-831,Muhammad Haroon,2411,2018-08-06,447,2018-08-11,831,,0,Not Submitted
2411-831,Muhammad Haroon,2411,2018-08-06,447,2018-08-11,831,,0,Not Submitted
2411-831,Muhammad Haroon,2411,2018-08-06,447,2018-08-11,831,,0,Not Submitted
2411-831,Muhammad Haroon,2411,2018-08-06,447,2018-08-11,831,,0,Not Submitted
2411-831,Muhammad Haroon,2411,2018-08-06,447,2018-08-11,831,,0,Not Submitted
2411-831,Muhammad Haroon,2411,2018-08-06,447,2018-08-11,831,,0,Not Submitted
2411-831,Muhammad Haroon,2411,2018-08-06,447,2018-08-11,831,,0,Not Submitted
2411-831,Muhammad Haroon,2411,2018-08-06,447,2018-08-11,831,,0,Not Submitted
2411-831,Muhammad Haroon,2411,2018-08-06,447,2018-08-11,831,,0,Not Submitted
2411-831,Muhammad Haroon,2411,2018-08-06,447,2018-08-11,831,,0,Not Submitted
2411-831,Muhammad Haroon,2411,2018-08-06,447,2018-08-11,831,,0,Not Submitted
2411-831,Muhammad Haroon,2411,2018-08-06,447,2018-08-11,831,,0,Not Submitted
2411-831,Muhammad Haroon,2411,2018-08-06,447,2018-08-11,831,,0,Not Submitted
2411-831,Muhammad Haroon,2411,2018-08-06,447,2018-08-11,831,,0,Not Submitted
2411-831,Muhammad Haroon,2411,2018-08-06,447,2018-08-11,831,,0,Not Submitted
2411-831,Muhammad Haroon,2411,2018-08-06,447,2018-08-11,831,,0,Not Submitted
2411-831,Muhammad Haroon,2411,2018-08-06,447,2018-08-11,831,,0,Not Submitted
2411-831,Muhammad Haroon,2411,2018-08-08,447,2018-08-11,831,,0,Not Submitted
2411-831,Muhammad Haroon,2411,2018-08-06,447,2018-08-11,831,,0,Not Submitted
2411-831,Muhammad Haroon,2411,2018-08-06,447,2018-08-11,831,,0,Not Submitted
2411-831,Muhammad Haroon,2411,2018-08-06,447,2018-08-11,831,,0,Not Submitted
2411-831,Muhammad Haroon,2411,2018-08-06,447,2018-08-11,831,,0,Not Submitted
2411-831,Muhammad Haroon,2411,2018-08-06,447,2018-08-11,831,,0,Not Submitted
2411-831,Muhammad Haroon,2411,2018-08-06,447,2018-08-11,831,,0,Not Submitted
2411-831,Muhammad Haroon,2411,2018-08-06,447,2018-08-11,831,,0,Not Submitted
2411-831,Muhammad Haroon,2411,2018-08-06,447,2018-08-11,831,,0,Not Submitted
2411-831,Muhammad Haroon,2411,2018-08-06,447,2018-08-11,831,,0,Not Submitted
2411-831,Muhammad Haroon,2411,2018-08-06,447,2018-08-11,831,,0,Not Submitted
2411-831,Muhammad Haroon,2411,2018-08-06,447,2018-08-11,831,,0,Not Submitted
2411-831,Muhammad Haroon,2411,2018-08-06,447,2018-08-11,831,,0,Not Submitted
2411-831,Muhammad Haroon,2411,2018-08-06,447,2018-08-11,831,,0,Not Submitted
2411-831,Muhammad Haroon,2411,2018-08-06,447,2018-08-11,831,,0,Not Submitted
2411-831,Muhammad Haroon,2411,2018-08-06,447,2018-08-11,831,,0,Not Submitted
2411-831,Muhammad Haroon,2411,2018-08-06,447,2018-08-11,831,,0,Not Submitted
2411-831,Muhammad Haroon,2411,2018-08-06,447,2018-08-11,831,,0,Not Submitted
2411-831,Muhammad Haroon,2411,2018-08-06,447,2018-08-11,831,,0,Not Submitted
2411-831,Muhammad Haroon,2411,2018-08-06,447,2018-08-11,831,,0,Not Submitted
2411-831,Muhammad Haroon,2411,2018-08-06,447,2018-08-11,831,,0,Not Submitted
2411-831,Muhammad Haroon,2411,2018-08-06,447,2018-08-11,831,,0,Not Submitted
2411-831,Muhammad Haroon,2411,2018-08-06,447,2018-08-11,831,,0,Not Submitted
2411-831,Muhammad Haroon,2411,2018-08-06,447,2018-08-11,831,,0,Not Submitted
2411-831,Muhammad Haroon,2411,2018-08-06,447,2018-08-11,831,,0,Not Submitted
2411-831,Muhammad Haroon,2411,2018-08-06,447,2018-08-11,831,,0,Not Submitted
2411-831,Muhammad Haroon,2411,2018-08-06,447,2018-08-11,831,,0,Not Submitted
2411-831,Muhammad Haroon,2411,2018-08-06,447,2018-08-11,831,,0,Not Submitted
2411-831,Muhammad Haroon,2411,2018-08-06,447,2018-08-11,831,,0,Not Submitted
2411-831,Muhammad Haroon,2411,2018-08-06,447,2018-08-11,831,,0,Not Submitted
2411-831,Muhammad Haroon,2411,2018-08-06,447,2018-08-11,831,,0,Not Submitted
2411-831,Muhammad Haroon,2411,2018-08-06,447,2018-08-11,831,,0,Not Submitted
2411-831,Muhammad Haroon,2411,2018-08-06,447,2018-08-11,831,,0,Not Submitted
2411-831,Muhammad Haroon,2411,2018-08-06,447,2018-08-11,831,,0,Not Submitted
2411-831,Muhammad Haroon,2411,2018-08-06,447,2018-08-11,831,,0,Not Submitted
2411-831,Muhammad Haroon,2411,2018-08-07,447,2018-08-11,831,,0,Not Submitted
2411-831,Muhammad Haroon,2411,2018-08-07,447,2018-08-11,831,,0,Not Submitted
2411-831,Muhammad Haroon,2411,2018-08-07,447,2018-08-11,831,,0,Not Submitted
2411-831,Muhammad Haroon,2411,2018-08-07,447,2018-08-11,831,,0,Not Submitted
2411-831,Muhammad Haroon,2411,2018-08-07,447,2018-08-11,831,,0,Not Submitted
2411-831,Muhammad Haroon,2411,2018-08-07,447,2018-08-11,831,,0,Not Submitted
2411-831,Muhammad Haroon,2411,2018-08-07,447,2018-08-11,831,,0,Not Submitted
2411-831,Muhammad Haroon,2411,2018-08-07,447,2018-08-11,831,,0,Not Submitted
2411-831,Muhammad Haroon,2411,2018-08-07,447,2018-08-11,831,,0,Not Submitted
2411-831,Muhammad Haroon,2411,2018-08-07,447,2018-08-11,831,,0,Not Submitted
2411-831,Muhammad Haroon,2411,2018-08-07,447,2018-08-11,831,,0,Not Submitted
2411-831,Muhammad Haroon,2411,2018-08-07,447,2018-08-11,831,,0,Not Submitted
2411-831,Muhammad Haroon,2411,2018-08-07,447,2018-08-11,831,,0,Not Submitted
2411-831,Muhammad Haroon,2411,2018-08-07,447,2018-08-11,831,,0,Not Submitted
2411-831,Muhammad Haroon,2411,2018-08-07,447,2018-08-11,831,,0,Not Submitted
2411-831,Muhammad Haroon,2411,2018-08-07,447,2018-08-11,831,,0,Not Submitted
2411-831,Muhammad Haroon,2411,2018-08-07,447,2018-08-11,831,,0,Not Submitted
2411-831,Muhammad Haroon,2411,2018-08-07,447,2018-08-11,831,,0,Not Submitted
2411-831,Muhammad Haroon,2411,2018-08-07,447,2018-08-11,831,,0,Not Submitted
2411-831,Muhammad Haroon,2411,2018-08-07,447,2018-08-11,831,,0,Not Submitted
2411-831,Muhammad Haroon,2411,2018-08-07,447,2018-08-11,831,,0,Not Submitted
2411-831,Muhammad Haroon,2411,2018-08-07,447,2018-08-11,831,,0,Not Submitted
2411-831,Muhammad Haroon,2411,2018-08-07,447,2018-08-11,831,,0,Not Submitted
6142-0,SOGO CORPORATION,6142,2019-09-20,4463,2019-11-07,0,,0,Not Submitted
2415-830,Muhammad Haroon,2415,2018-08-09,446,2018-08-11,830,,0,Not Submitted
2415-830,Muhammad Haroon,2415,2018-08-09,446,2018-08-11,830,,0,Not Submitted
2415-830,Muhammad Haroon,2415,2018-08-09,446,2018-08-11,830,,0,Not Submitted
2415-830,Muhammad Haroon,2415,2018-08-09,446,2018-08-11,830,,0,Not Submitted
2415-830,Muhammad Haroon,2415,2018-08-09,446,2018-08-11,830,,0,Not Submitted
2415-830,Muhammad Haroon,2415,2018-08-09,446,2018-08-11,830,,0,Not Submitted
2415-830,Muhammad Haroon,2415,2018-08-09,446,2018-08-11,830,,0,Not Submitted
2415-830,Muhammad Haroon,2415,2018-08-09,446,2018-08-11,830,,0,Not Submitted
2415-830,Muhammad Haroon,2415,2018-08-09,446,2018-08-11,830,,0,Not Submitted
2415-830,Muhammad Haroon,2415,2018-08-09,446,2018-08-11,830,,0,Not Submitted
2415-830,Muhammad Haroon,2415,2018-08-09,446,2018-08-11,830,,0,Not Submitted
2415-830,Muhammad Haroon,2415,2018-08-09,446,2018-08-11,830,,0,Not Submitted
2415-830,Muhammad Haroon,2415,2018-08-09,446,2018-08-11,830,,0,Not Submitted
2415-830,Muhammad Haroon,2415,2018-08-09,446,2018-08-11,830,,0,Not Submitted
2415-830,Muhammad Haroon,2415,2018-08-09,446,2018-08-11,830,,0,Not Submitted
2415-830,Muhammad Haroon,2415,2018-08-09,446,2018-08-11,830,,0,Not Submitted
2415-830,Muhammad Haroon,2415,2018-08-09,446,2018-08-11,830,,0,Not Submitted
2415-830,Muhammad Haroon,2415,2018-08-09,446,2018-08-11,830,,0,Not Submitted
2415-830,Muhammad Haroon,2415,2018-08-09,446,2018-08-11,830,,0,Not Submitted
2415-830,Muhammad Haroon,2415,2018-08-09,446,2018-08-11,830,,0,Not Submitted
2415-830,Muhammad Haroon,2415,2018-08-09,446,2018-08-11,830,,0,Not Submitted
2415-830,Muhammad Haroon,2415,2018-08-09,446,2018-08-11,830,,0,Not Submitted
2415-830,Muhammad Haroon,2415,2018-08-09,446,2018-08-11,830,,0,Not Submitted
2415-830,Muhammad Haroon,2415,2018-08-09,446,2018-08-11,830,,0,Not Submitted
2415-830,Muhammad Haroon,2415,2018-08-09,446,2018-08-11,830,,0,Not Submitted
2415-830,Muhammad Haroon,2415,2018-08-09,446,2018-08-11,830,,0,Not Submitted
2415-830,Muhammad Haroon,2415,2018-08-09,446,2018-08-11,830,,0,Not Submitted
2415-830,Muhammad Haroon,2415,2018-08-09,446,2018-08-11,830,,0,Not Submitted
2415-830,Muhammad Haroon,2415,2018-08-09,446,2018-08-11,830,,0,Not Submitted
2415-830,Muhammad Haroon,2415,2018-08-09,446,2018-08-11,830,,0,Not Submitted
2415-830,Muhammad Haroon,2415,2018-08-09,446,2018-08-11,830,,0,Not Submitted
2415-830,Muhammad Haroon,2415,2018-08-09,446,2018-08-11,830,,0,Not Submitted
2415-830,Muhammad Haroon,2415,2018-08-09,446,2018-08-11,830,,0,Not Submitted
2415-830,Muhammad Haroon,2415,2018-08-09,446,2018-08-11,830,,0,Not Submitted
2415-830,Muhammad Haroon,2415,2018-08-09,446,2018-08-11,830,,0,Not Submitted
2415-830,Muhammad Haroon,2415,2018-08-09,446,2018-08-11,830,,0,Not Submitted
2415-830,Muhammad Haroon,2415,2018-08-09,446,2018-08-11,830,,0,Not Submitted
2415-830,Muhammad Haroon,2415,2018-08-09,446,2018-08-11,830,,0,Not Submitted
2415-830,Muhammad Haroon,2415,2018-08-09,446,2018-08-11,830,,0,Not Submitted
2415-830,Muhammad Haroon,2415,2018-08-09,446,2018-08-11,830,,0,Not Submitted
2415-830,Muhammad Haroon,2415,2018-08-09,446,2018-08-11,830,,0,Not Submitted
2415-830,Muhammad Haroon,2415,2018-08-09,446,2018-08-11,830,,0,Not Submitted
2415-830,Muhammad Haroon,2415,2018-08-09,446,2018-08-11,830,,0,Not Submitted
2415-830,Muhammad Haroon,2415,2018-08-09,446,2018-08-11,830,,0,Not Submitted
2415-830,Muhammad Haroon,2415,2018-08-09,446,2018-08-11,830,,0,Not Submitted
2415-830,Muhammad Haroon,2415,2018-08-09,446,2018-08-11,830,,0,Not Submitted
